nome,posicao_jogador,idade,altura_jogador,peso_jogador,nacionalidade,time,ano,classificacao_time
Manuel Almunia,G,44.0,1.91,86.0,Espanha,arsenal,2003,1
Mark Howard,G,35.0,1.83,76.0,Inglaterra,arsenal,2003,1
Jens Lehmann1,G,51.0,1.91,87.0,Alemanha,arsenal,2003,1
Stuart Taylor13,G,40.0,1.96,79.0,Inglaterra,arsenal,2003,1
Ryan Garry,D,38.0,1.88,82.0,Inglaterra,arsenal,2003,1
Ashley Cole3,D,40.0,1.75,66.0,Inglaterra,arsenal,2003,1
Lauren12,D,44.0,1.8,71.0,Camarões,arsenal,2003,1
Pascal Cygan18,D,47.0,1.93,84.0,França,arsenal,2003,1
Philippe Senderos20,D,36.0,1.91,83.0,Suíça,arsenal,2003,1
Gaël Clichy22,D,36.0,1.75,63.0,França,arsenal,2003,1
Sol Campbell23,D,47.0,1.88,91.0,Inglaterra,arsenal,2003,1
Kolo Touré28,D,40.0,1.83,76.0,Costa do Marfim,arsenal,2003,1
Justin Hoyte45,D,36.0,1.8,67.0,Inglaterra,arsenal,2003,1
Frank Simek51,D,37.0,1.83,73.0,Estados Unidos,arsenal,2003,1
Mathieu Flamini,M,37.0,1.78,67.0,França,arsenal,2003,1
Patrick Vieira4,M,45.0,1.93,82.0,França,arsenal,2003,1
Robert Pires7,M,48.0,1.85,73.0,França,arsenal,2003,1
Freddie Ljungberg8,M,44.0,1.75,68.0,Suécia,arsenal,2003,1
José Antonio Reyes9,M,38.0,1.75,71.0,Espanha,arsenal,2003,1
Edu17,M,43.0,1.85,71.0,Brasil,arsenal,2003,1
Gilberto Silva19,M,45.0,1.91,78.0,Brasil,arsenal,2003,1
Jermaine Pennant21,M,38.0,1.73,63.0,Inglaterra,arsenal,2003,1
Sebastian Svard31,M,38.0,1.85,77.0,Dinamarca,arsenal,2003,1
John Spicer52,M,38.0,1.8,77.0,Inglaterra,arsenal,2003,1
Ólafur Skúlason55,M,38.0,1.83,74.0,Islândia,arsenal,2003,1
Ryan Smith56,M,34.0,1.75,68.0,Inglaterra,arsenal,2003,1
Cesc Fàbregas57,M,34.0,1.8,77.0,Espanha,arsenal,2003,1
Robin van Persie,A,38.0,1.83,71.0,Holanda,arsenal,2003,1
Arturo Lupoli,A,34.0,1.73,66.0,Itália,arsenal,2003,1
Francis Jeffers9,A,40.0,1.78,73.0,Inglaterra,arsenal,2003,1
Dennis Bergkamp10,A,52.0,1.83,78.0,Holanda,arsenal,2003,1
Thierry Henry14,A,44.0,1.88,83.0,França,arsenal,2003,1
Jeremie Aliadiere30,A,38.0,1.83,69.0,França,arsenal,2003,1
Carlo Cudicini23,G,48.0,1.85,73.0,Itália,chelsea,2003,2
Marco Ambrosio31,G,48.0,1.8,78.0,Itália,chelsea,2003,2
Neil Sullivan34,G,51.0,1.91,83.0,Escócia,chelsea,2003,2
Jurgen Macho35,G,49.0,1.93,87.0,Áustria,chelsea,2003,2
Yves Ma-Kalambay50,G,35.0,1.98,96.0,Bélgica,chelsea,2003,2
Glen Johnson2,D,37.0,1.8,84.0,Inglaterra,chelsea,2003,2
Celestine Babayaro3,D,43.0,1.75,68.0,Nigéria,chelsea,2003,2
Marcel Desailly6,D,53.0,1.83,79.0,França,chelsea,2003,2
William Gallas13,D,44.0,1.8,72.0,França,chelsea,2003,2
Wayne Bridge18,D,41.0,1.8,80.0,Inglaterra,chelsea,2003,2
John Terry26,D,40.0,1.88,90.0,Inglaterra,chelsea,2003,2
Robert Huth29,D,37.0,1.91,87.0,Alemanha,chelsea,2003,2
Valerio Di Cesare38,D,38.0,1.88,73.0,Itália,chelsea,2003,2
Alexey Smertin,M,46.0,1.73,63.0,Russia,chelsea,2003,2
Claude Makelele4,M,48.0,1.75,69.0,França,chelsea,2003,2
Frank Lampard8,M,43.0,1.83,91.0,Inglaterra,chelsea,2003,2
Joe Cole10,M,39.0,1.75,73.0,Inglaterra,chelsea,2003,2
Damien Duff11,M,42.0,1.78,58.0,Irlanda,chelsea,2003,2
Mario Stanic12,M,49.0,1.88,82.0,Croácia,chelsea,2003,2
Geremi14,M,42.0,1.8,78.0,Camarões,chelsea,2003,2
Scott Parker19,M,41.0,1.75,69.0,Inglaterra,chelsea,2003,2
Boudewijn Zenden24,M,45.0,1.73,68.0,Holanda,chelsea,2003,2
Alexis Nicolas27,M,38.0,1.7,62.0,Cyprus,chelsea,2003,2
Jesper Gronkjaer30,M,44.0,1.8,69.0,Dinamarca,chelsea,2003,2
Joe Keenan36,M,39.0,1.73,69.0,Inglaterra,chelsea,2003,2
Craig Rocastle41,M,40.0,1.85,78.0,Inglaterra,chelsea,2003,2
Adrian Mutu7,A,42.0,1.8,73.0,Romênia,chelsea,2003,2
Jimmy Floyd Hasselbaink9,A,49.0,1.83,86.0,Holanda,chelsea,2003,2
Hernán Crespo21,A,46.0,1.83,78.0,Argentina,chelsea,2003,2
Eidur Gudjohnsen22,A,43.0,1.85,88.0,Islândia,chelsea,2003,2
Filipe Oliveira28,A,37.0,1.78,74.0,Portugal,chelsea,2003,2
Luke Steele,G,37.0,1.88,76.0,Inglaterra,manchester united,2003,3
Roy Carroll13,G,44.0,1.88,80.0,Irlanda do Norte,manchester united,2003,3
Tim Howard14,G,42.0,1.91,94.0,Estados Unidos,manchester united,2003,3
Lopez Felipe Ricardo17,G,49.0,1.88,87.0,Espanha,manchester united,2003,3
Gabriel Heinze,D,43.0,1.78,78.0,Argentina,manchester united,2003,3
Paul McShane,D,35.0,1.83,72.0,Irlanda,manchester united,2003,3
Gary Neville2,D,46.0,1.8,78.0,Inglaterra,manchester united,2003,3
Rio Ferdinand5,D,43.0,1.88,82.0,Inglaterra,manchester united,2003,3
Wes Brown6,D,42.0,1.85,77.0,Inglaterra,manchester united,2003,3
John O'Shea22,D,40.0,1.91,75.0,Irlanda,manchester united,2003,3
Mikael Silvestre27,D,44.0,1.83,190.0,França,manchester united,2003,3
Mark Lynch28,D,40.0,1.8,76.0,Inglaterra,manchester united,2003,3
Phil Bardsley34,D,36.0,1.8,73.0,Escócia,manchester united,2003,3
Jonathan Spector40,D,35.0,1.83,78.0,Estados Unidos,manchester united,2003,3
Liam Miller,M,19.0,1.7,71.0,Escócia,manchester united,2003,3
David Fox,M,37.0,1.75,76.0,Inglaterra,manchester united,2003,3
Lee Martin,M,34.0,1.78,78.0,Inglaterra,manchester united,2003,3
Alan Smith,M,41.0,1.78,69.0,Inglaterra,manchester united,2003,3
Phil Neville3,M,44.0,1.8,68.0,Inglaterra,manchester united,2003,3
Ryan Giggs11,M,47.0,1.8,68.0,País de Gales,manchester united,2003,3
Luke Chadwick15,M,40.0,1.8,67.0,Inglaterra,manchester united,2003,3
Jose Kleberson15,M,42.0,1.75,63.0,Brasil,manchester united,2003,3
Roy Keane16,M,50.0,1.8,76.0,Irlanda,manchester united,2003,3
Michael Stewart17,M,40.0,1.83,72.0,Escócia,manchester united,2003,3
Paul Scholes18,M,46.0,1.68,69.0,Inglaterra,manchester united,2003,3
Eric Djemba-Djemba19,M,40.0,1.75,74.0,Camarões,manchester united,2003,3
Kieran Richardson23,M,21.0,1.75,68.0,Inglaterra,manchester united,2003,3
Bojan Djordjic23,M,39.0,1.83,74.0,Suécia,manchester united,2003,3
Darren Fletcher24,M,37.0,1.83,83.0,Escócia,manchester united,2003,3
Quinton Fortune25,M,44.0,1.8,76.0,África do Sul,manchester united,2003,3
Chris Eagles33,M,35.0,1.83,68.0,Inglaterra,manchester united,2003,3
Paul Tierney39,M,39.0,1.78,81.0,Inglaterra,manchester united,2003,3
Colin Heath,A,37.0,1.83,76.0,Inglaterra,manchester united,2003,3
Cristiano Ronaldo7,A,36.0,1.88,83.0,Portugal,manchester united,2003,3
Louis Saha9,A,43.0,1.83,72.0,França,manchester united,2003,3
Ruud van Nistelrooy10,A,45.0,1.88,79.0,Holanda,manchester united,2003,3
David Bellion12,A,38.0,1.83,78.0,França,manchester united,2003,3
Ole Gunnar Solskjaer20,A,48.0,1.78,74.0,Noruega,manchester united,2003,3
Diego Forlán21,A,42.0,1.8,73.0,Uruguai,manchester united,2003,3
Jerzy Dudek1,G,48.0,1.88,83.0,Polônia,liverpool,2003,4
Chris Kirkland22,G,40.0,1.91,73.0,Inglaterra,liverpool,2003,4
Patrice Luzi Bernardi29,G,41.0,1.91,87.0,França,liverpool,2003,4
Paul Harrison40,G,36.0,1.78,72.0,Inglaterra,liverpool,2003,4
David Raven,D,36.0,1.83,71.0,Inglaterra,liverpool,2003,4
Lee Peltier,D,34.0,1.78,73.0,Inglaterra,liverpool,2003,4
Stephane Henchoz2,D,47.0,1.88,83.0,Suíça,liverpool,2003,4
Steve Finnan3,D,45.0,1.78,73.0,Irlanda,liverpool,2003,4
Sami Hyypia4,D,48.0,1.96,87.0,Finlândia,liverpool,2003,4
Markus Babbel6,D,49.0,1.91,81.0,Alemanha,liverpool,2003,4
John Arne Riise18,D,41.0,1.85,77.0,Noruega,liverpool,2003,4
Djimi Traore21,D,41.0,1.91,83.0,Mali,liverpool,2003,4
Jamie Carragher23,D,43.0,1.85,76.0,Inglaterra,liverpool,2003,4
Igor Biscan25,D,43.0,1.91,79.0,Croácia,liverpool,2003,4
Gregory Vignal27,D,40.0,1.8,77.0,França,liverpool,2003,4
Carl Medjani30,D,36.0,1.83,78.0,França,liverpool,2003,4
Stephen Warnock35,D,39.0,1.78,75.0,Inglaterra,liverpool,2003,4
Jon Otsemobor36,D,38.0,1.78,79.0,Inglaterra,liverpool,2003,4
Zak Whitbread37,D,37.0,1.88,71.0,Estados Unidos,liverpool,2003,4
Mark Smyth,M,36.0,1.73,69.0,--,liverpool,2003,4
Ryan Wilkie,M,35.0,1.8,,Escócia,liverpool,2003,4
David Mannix,M,36.0,1.8,72.0,Inglaterra,liverpool,2003,4
Robbie Foy,M,36.0,1.8,61.0,Escócia,liverpool,2003,4
Harry Kewell7,M,43.0,1.8,78.0,Austrália,liverpool,2003,4
El-Hadji Diouf9,M,40.0,1.8,74.0,Senegal,liverpool,2003,4
Vladimir Smicer11,M,48.0,1.78,73.0,República Tcheca,liverpool,2003,4
Danny Murphy13,M,44.0,1.75,67.0,Inglaterra,liverpool,2003,4
Salif Diao15,M,44.0,1.85,73.0,Senegal,liverpool,2003,4
Dietmar Hamann16,M,48.0,1.93,82.0,Alemanha,liverpool,2003,4
Steven Gerrard17,M,41.0,1.85,83.0,Inglaterra,liverpool,2003,4
Florent Sinama-Pongolle24,M,37.0,1.75,68.0,França,liverpool,2003,4
Bruno Cheyrou28,M,43.0,1.85,79.0,França,liverpool,2003,4
John Welsh32,M,37.0,1.7,70.0,Inglaterra,liverpool,2003,4
Darren Potter34,M,36.0,1.85,72.0,Irlanda,liverpool,2003,4
Milan Baros5,A,40.0,1.83,68.0,República Tcheca,liverpool,2003,4
Michael Owen10,A,41.0,1.73,69.0,Inglaterra,liverpool,2003,4
Anthony Tallec20,A,37.0,1.85,73.0,França,liverpool,2003,4
Neil Mellor33,A,39.0,1.83,86.0,Inglaterra,liverpool,2003,4
Shay Given1,G,45.0,1.85,84.0,Irlanda,newcastle united,2003,5
Steve Harper12,G,46.0,1.88,82.0,Inglaterra,newcastle united,2003,5
Stephen Brennan,D,38.0,,,--,newcastle united,2003,5
Peter Ramage,D,37.0,1.85,76.0,Inglaterra,newcastle united,2003,5
Robbie Elliott3,D,47.0,1.78,69.0,Inglaterra,newcastle united,2003,5
Andrew O'Brien5,D,42.0,1.91,92.0,Irlanda,newcastle united,2003,5
Jonathan Woodgate6,D,41.0,1.83,80.0,Inglaterra,newcastle united,2003,5
Aaron Hughes18,D,41.0,1.83,71.0,Irlanda do Norte,newcastle united,2003,5
Titus Bramble19,D,40.0,1.85,86.0,Inglaterra,newcastle united,2003,5
Steven Taylor27,D,35.0,1.88,81.0,Inglaterra,newcastle united,2003,5
Olivier Bernard35,D,42.0,1.75,68.0,França,newcastle united,2003,5
Alan O'Brien,M,36.0,1.78,71.0,Irlanda,newcastle united,2003,5
Nicky Butt4,M,46.0,1.78,68.0,Inglaterra,newcastle united,2003,5
Jermaine Jenas7,M,38.0,1.78,76.0,Inglaterra,newcastle united,2003,5
Kieron Courtney Dyer8,M,42.0,1.73,64.0,Inglaterra,newcastle united,2003,5
James Milner16,M,35.0,1.75,68.0,Inglaterra,newcastle united,2003,5
Darren Ambrose17,M,37.0,1.83,77.0,Inglaterra,newcastle united,2003,5
Jamie McClen22,M,42.0,1.73,67.0,Inglaterra,newcastle united,2003,5
Lee Bowyer29,M,44.0,1.75,66.0,Inglaterra,newcastle united,2003,5
Laurent Robert32,M,46.0,1.73,69.0,França,newcastle united,2003,5
Martin Brittain39,M,36.0,1.73,66.0,Inglaterra,newcastle united,2003,5
Lewis Guy40,M,36.0,1.75,66.0,Escócia,newcastle united,2003,5
Alan Shearer9,A,51.0,1.83,76.0,Inglaterra,newcastle united,2003,5
Craig Bellamy10,A,42.0,1.75,68.0,País de Gales,newcastle united,2003,5
Patrick Kluivert11,A,45.0,1.91,76.0,Holanda,newcastle united,2003,5
Shola Ameobi23,A,40.0,1.8,92.0,Nigéria,newcastle united,2003,5
Michael Chopra28,A,37.0,1.75,65.0,Inglaterra,newcastle united,2003,5
Mika Masalin,G,35.0,,,Inglaterra,aston villa,2003,6
Wayne Henderson,G,38.0,1.83,82.0,Irlanda,aston villa,2003,6
Thomas Sorensen1,G,45.0,1.96,88.0,Dinamarca,aston villa,2003,6
Stefan Postma13,G,45.0,2.01,89.0,Holanda,aston villa,2003,6
Martin Laursen,D,44.0,1.91,83.0,Dinamarca,aston villa,2003,6
James O'Connor,D,36.0,1.78,78.0,Inglaterra,aston villa,2003,6
Mark Delaney2,D,45.0,1.88,73.0,País de Gales,aston villa,2003,6
Jlloyd Samuel3,D,40.0,1.8,72.0,Trinidad and Tobago,aston villa,2003,6
Olof Mellberg4,D,44.0,1.93,76.0,Suécia,aston villa,2003,6
Ulises De la Cruz15,D,47.0,1.75,73.0,Equador,aston villa,2003,6
Liam Ridgewell24,D,37.0,1.88,77.0,Inglaterra,aston villa,2003,6
Rob Edwards29,D,38.0,1.85,73.0,Inglaterra,aston villa,2003,6
Keith Fahey,M,38.0,1.8,73.0,Irlanda,aston villa,2003,6
Gareth Barry6,M,40.0,1.85,87.0,Inglaterra,aston villa,2003,6
Lee Hendrie7,M,44.0,1.78,69.0,Inglaterra,aston villa,2003,6
Gavin McCann8,M,43.0,1.8,79.0,Inglaterra,aston villa,2003,6
 Nolberto Solano11,M,46.0,1.73,71.0,Peru,aston villa,2003,6
Thomas Hitzlsperger12,M,39.0,1.83,74.0,Alemanha,aston villa,2003,6
Peter Whittingham17,M,37.0,1.78,63.0,Inglaterra,aston villa,2003,6
Steven Davis21,M,36.0,1.73,68.0,Irlanda do Norte,aston villa,2003,6
S Cooke30,M,38.0,1.73,58.0,Inglaterra,aston villa,2003,6
Mika Aaritalo,A,36.0,1.88,78.0,Finlândia,aston villa,2003,6
Carlton Cole,A,38.0,1.91,77.0,Inglaterra,aston villa,2003,6
Darius Vassell10,A,41.0,1.7,68.0,Inglaterra,aston villa,2003,6
Marcus Allback14,A,48.0,1.8,78.0,Suécia,aston villa,2003,6
Juan Pablo Angel18,A,46.0,1.85,77.0,Colômbia,aston villa,2003,6
Stefan Moore23,A,38.0,1.8,68.0,Inglaterra,aston villa,2003,6
Luke Moore31,A,35.0,1.75,74.0,Inglaterra,aston villa,2003,6
Stephan Andersen,G,39.0,1.88,76.0,Dinamarca,charlton athletic,2003,7
Dean Kiely1,G,51.0,1.85,78.0,Irlanda,charlton athletic,2003,7
Paul Rachubka13,G,40.0,1.85,84.0,Estados Unidos,charlton athletic,2003,7
Simon Royce25,G,50.0,1.88,86.0,Inglaterra,charlton athletic,2003,7
Chris Powell3,D,52.0,1.78,73.0,Inglaterra,charlton athletic,2003,7
Mark Fish6,D,47.0,1.93,79.0,África do Sul,charlton athletic,2003,7
Hermann Hreidarsson12,D,47.0,1.91,82.0,Islândia,charlton athletic,2003,7
Gary Rowett15,D,47.0,1.83,81.0,Inglaterra,charlton athletic,2003,7
Paul Konchesky18,D,40.0,1.78,68.0,Inglaterra,charlton athletic,2003,7
Michael Turner23,D,37.0,1.93,90.0,Inglaterra,charlton athletic,2003,7
Jonathan Fortune24,D,41.0,1.88,83.0,Inglaterra,charlton athletic,2003,7
Osei Sankofa28,D,36.0,1.83,78.0,Inglaterra,charlton athletic,2003,7
Chris Perry36,D,48.0,1.73,68.0,Inglaterra,charlton athletic,2003,7
Dennis Rommedahl,M,43.0,1.78,63.0,Dinamarca,charlton athletic,2003,7
Bryan Hughes,M,45.0,1.75,70.0,Inglaterra,charlton athletic,2003,7
Radostin Kishishev2,M,47.0,1.8,78.0,Bulgaria,charlton athletic,2003,7
Graham Stuart4,M,51.0,1.75,74.0,Inglaterra,charlton athletic,2003,7
Matthew Holland8,M,47.0,1.75,69.0,Irlanda,charlton athletic,2003,7
Claus Jensen10,M,44.0,1.78,78.0,Dinamarca,charlton athletic,2003,7
Jerome Thomas14,M,38.0,1.78,82.0,Inglaterra,charlton athletic,2003,7
Luke Young19,M,28.0,1.73,72.0,Inglaterra,charlton athletic,2003,7
Jonatan Johansson21,M,46.0,1.85,76.0,Finlândia,charlton athletic,2003,7
Jamal Campbell-Ryce22,M,38.0,1.7,77.0,Inglaterra,charlton athletic,2003,7
Neil McCafferty29,M,37.0,1.7,63.0,Inglaterra,charlton athletic,2003,7
Stacy Long30,M,36.0,1.73,69.0,Inglaterra,charlton athletic,2003,7
Carlton Cole,A,38.0,1.91,77.0,Inglaterra,charlton athletic,2003,7
Jason Euell9,A,44.0,1.8,79.0,Jamaica,charlton athletic,2003,7
Paolo Di Canio11,A,53.0,1.75,73.0,Itália,charlton athletic,2003,7
Kevin Lisbie16,A,43.0,1.78,68.0,Inglaterra,charlton athletic,2003,7
Shaun Bartlett17,A,49.0,1.88,78.0,África do Sul,charlton athletic,2003,7
Lloyd Sam31,A,37.0,1.73,73.0,Gana,charlton athletic,2003,7
Alex Varney37,A,36.0,1.78,76.0,Inglaterra,charlton athletic,2003,7
Jussi Jaaskelainen22,G,46.0,1.91,80.0,Finlândia,bolton wanderers,2003,8
Michael Gillan,D,35.0,,,Inglaterra,bolton wanderers,2003,8
Anthony Barness2,D,48.0,1.78,78.0,Inglaterra,bolton wanderers,2003,8
Simon Charlton3,D,50.0,1.73,74.0,Inglaterra,bolton wanderers,2003,8
Bruno N'Gotty5,D,50.0,1.85,86.0,França,bolton wanderers,2003,8
Ricardo Gardner11,D,43.0,1.75,69.0,Jamaica,bolton wanderers,2003,8
Florent Laville17,D,48.0,1.85,74.0,Inglaterra,bolton wanderers,2003,8
Nicky Hunt18,D,38.0,1.88,87.0,Inglaterra,bolton wanderers,2003,8
Danny Livesey23,D,36.0,1.88,87.0,Inglaterra,bolton wanderers,2003,8
Charlie Comyn-Platt31,D,36.0,1.88,76.0,Inglaterra,bolton wanderers,2003,8
Kevin Nolan4,M,39.0,1.83,88.0,Inglaterra,bolton wanderers,2003,8
Youri Djorkaeff6,M,53.0,1.78,73.0,França,bolton wanderers,2003,8
Stelios Giannakopoulos7,M,47.0,1.73,69.0,Grécia,bolton wanderers,2003,8
Jay-Jay Okocha10,M,48.0,1.78,70.0,Nigéria,bolton wanderers,2003,8
Ivan Campo16,M,47.0,1.85,81.0,Espanha,bolton wanderers,2003,8
Jason Talbot33,M,36.0,1.75,69.0,Inglaterra,bolton wanderers,2003,8
Duong Thach,A,35.0,,,--,bolton wanderers,2003,8
Henrik Pedersen9,A,46.0,1.88,83.0,Dinamarca,bolton wanderers,2003,8
Kevin Davies14,A,44.0,1.83,80.0,Inglaterra,bolton wanderers,2003,8
Ricardo Vaz Te32,A,35.0,1.88,78.0,Portugal,bolton wanderers,2003,8
Ricky Shakes36,A,36.0,1.78,73.0,Guyana,bolton wanderers,2003,8
Ross Flitney,G,37.0,1.88,73.0,Inglaterra,fulham,2003,9
Edwin van der Sar1,G,51.0,1.91,83.0,Holanda,fulham,2003,9
Mark Crossley12,G,52.0,1.91,99.0,País de Gales,fulham,2003,9
Martín Herrera21,G,51.0,1.83,78.0,Argentina,fulham,2003,9
Liam Fontaine,D,35.0,1.8,73.0,Inglaterra,fulham,2003,9
Moritz Volz2,D,38.0,1.78,74.0,Alemanha,fulham,2003,9
Zat Knight16,D,41.0,1.98,86.0,Inglaterra,fulham,2003,9
Jerome Bonnissel18,D,48.0,1.78,71.0,França,fulham,2003,9
Dean Leacock22,D,37.0,1.91,87.0,Inglaterra,fulham,2003,9
Alain Goma24,D,49.0,1.83,86.0,França,fulham,2003,9
Zesh Rehman28,D,38.0,1.88,82.0,Pakistan,fulham,2003,9
Adam Green30,D,37.0,1.73,68.0,Inglaterra,fulham,2003,9
Carlos Bocanegra34,D,42.0,1.83,77.0,Estados Unidos,fulham,2003,9
Ian Pearce35,D,47.0,1.91,89.0,Inglaterra,fulham,2003,9
Neale McDermott,M,36.0,1.83,73.0,Inglaterra,fulham,2003,9
Matthew Collins,M,35.0,1.75,68.0,Escócia,fulham,2003,9
Sylvain Legwinski5,M,48.0,1.85,72.0,França,fulham,2003,9
Mark Pembridge7,M,50.0,1.7,78.0,País de Gales,fulham,2003,9
Lee Clark10,M,49.0,1.73,73.0,Inglaterra,fulham,2003,9
Luis Boa Morte11,M,44.0,1.78,73.0,Portugal,fulham,2003,9
Steed Malbranque14,M,41.0,1.68,73.0,França,fulham,2003,9
Sean Davis23,M,28.0,1.83,73.0,Estados Unidos,fulham,2003,9
Malik Buari25,M,37.0,1.75,76.0,Gana,fulham,2003,9
Bobby Petta26,M,47.0,1.7,71.0,Holanda,fulham,2003,9
Darren Pratley31,M,36.0,1.85,68.0,Inglaterra,fulham,2003,9
Liam Rosenior37,M,37.0,1.78,76.0,Inglaterra,fulham,2003,9
Stuart Noble,A,38.0,1.83,82.0,Escócia,fulham,2003,9
Elvis Hammond,A,41.0,1.78,67.0,Gana,fulham,2003,9
Chris James,A,34.0,1.8,73.0,Nova Zelândia,fulham,2003,9
Steve Marlet7,A,47.0,1.8,68.0,França,fulham,2003,9
Brian McBride8,A,49.0,1.83,79.0,Estados Unidos,fulham,2003,9
Facundo Sava9,A,47.0,1.85,83.0,Argentina,fulham,2003,9
Collins John36,A,36.0,1.85,78.0,Holanda,fulham,2003,9
Ian Bennett1,G,50.0,1.83,80.0,Inglaterra,birmingham city,2003,10
Maik Taylor12,G,50.0,1.91,89.0,Irlanda do Norte,birmingham city,2003,10
Colin Doyle13,G,36.0,1.96,91.0,Irlanda,birmingham city,2003,10
Nico Vaesen18,G,52.0,1.91,79.0,Bélgica,birmingham city,2003,10
Martin Grainger3,D,49.0,1.8,76.0,Inglaterra,birmingham city,2003,10
Kenny Cunningham4,D,50.0,1.83,73.0,Irlanda,birmingham city,2003,10
Aliou Cisse6,D,45.0,1.8,73.0,Senegal,birmingham city,2003,10
Martin Taylor15,D,41.0,1.96,98.0,Inglaterra,birmingham city,2003,10
Jamie Clapham23,D,45.0,1.75,73.0,Inglaterra,birmingham city,2003,10
Matthew Upson25,D,42.0,1.85,71.0,Inglaterra,birmingham city,2003,10
Olivier Tebily26,D,45.0,1.83,82.0,Costa do Marfim,birmingham city,2003,10
Mathew Sadler30,D,36.0,1.8,72.0,Inglaterra,birmingham city,2003,10
Muzzy Izzet,M,47.0,1.78,64.0,Turquia,birmingham city,2003,10
Robbie Savage8,M,47.0,1.85,73.0,País de Gales,birmingham city,2003,10
Stan Lazaridis11,M,49.0,1.75,76.0,Austrália,birmingham city,2003,10
David Dunn16,M,41.0,1.78,87.0,Inglaterra,birmingham city,2003,10
